system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00057] PathFindOnPath found: C:\Windows\system32\d3d9.dll
display  D   display_settings.c:486  _al_score_display_settings       [   0.07324] Score is : 737
display  D   display_settings.c:357  _al_score_display_settings       [   0.07326] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07329] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07331] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07333] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07335] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07337] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07339] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07341] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07344] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07346] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07348] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07350] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07352] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07354] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07356] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07358] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07360] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07363] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07365] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07367] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07369] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.07371] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07373] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07375] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07377] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07379] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07381] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07383] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07385] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07387] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07389] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07391] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07393] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07395] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07398] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07400] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07402] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07404] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07406] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07408] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07410] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07412] Score is : 609
display  D   display_settings.c:357  _al_score_display_settings       [   0.07414] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07416] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07418] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07420] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07422] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07424] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07427] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07429] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07439] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07442] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07444] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07446] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07448] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07450] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07452] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07455] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07457] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07459] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07461] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07463] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07465] Single Buffer requirement not met.
